campaignid,reportdate,adid,asin,campaignname,campaignstatus,adgroupid,adgroupname,clicks,cost,impressions,attributedconversions14d,attributedsales14d,roasclicks14d,sku,spend,week_start,year_month
286310893459397,2025-07-02,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,0,0.0,399,0,0.0,0.0,,0.0,2025-06-30,2025-07
286310893459397,2025-07-03,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,4,16.11,310,2,40.08,2.487895717,,16.11,2025-06-30,2025-07
286310893459397,2025-07-04,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,1,2.46,551,0,0.0,0.0,,2.46,2025-06-30,2025-07
286310893459397,2025-07-05,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,3,10.49,550,1,20.04,1.910390849,,10.49,2025-06-30,2025-07
286310893459397,2025-07-06,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,2,10.25,1079,0,0.0,0.0,,10.25,2025-06-30,2025-07
286310893459397,2025-07-07,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,4,15.85,1062,3,71.0,4.479495269,,15.85,2025-07-07,2025-07
286310893459397,2025-07-08,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,14,68.71,1724,7,140.14,2.039586669,,68.710000001,2025-07-07,2025-07
286310893459397,2025-07-09,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,8,19.56,1208,5,76.44,3.907975461,,19.56,2025-07-07,2025-07
286310893459397,2025-07-10,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,9,26.69,1300,2,36.63,1.372424129,,26.69,2025-07-07,2025-07
286310893459397,2025-07-11,343094187568078,B0CHKTB6CJ,CG_CO_ROAR_PAT - Perpetua - SP - Default Pat - oe20qcux,ENABLED,533962165869161,Ad Group 1,10,37.91,1856,6,76.44,2.016354524,,37.91,2025-07-07,2025-07
